0,1,2
0.0,-1.0,3.773719e-05
0.0,-0.98,2.9817224e-05
0.0,-0.96,2.3175031e-05
0.0,-0.94,1.777336e-05
0.0,-0.92,1.3578683e-05
0.0,-0.9,1.0624528e-05
0.0,-0.88,8.884817e-06
0.0,-0.86,8.3222985e-06
0.0,-0.84,8.91462e-06
0.0,-0.82,1.0699034e-05
0.0,-0.8,1.3500452e-05
0.0,-0.78,1.7307699e-05
0.0,-0.76,2.208352e-05
0.0,-0.74,2.7604401e-05
0.0,-0.72,3.386289e-05
0.0,-0.7,4.0788203e-05
0.0,-0.68,4.810095e-05
0.0,-0.66,5.5663288e-05
0.0,-0.64,6.342679e-05
0.0,-0.62,7.111207e-05
0.0,-0.6,7.85999e-05
0.0,-0.58,8.561835e-05
0.0,-0.56,9.1820955e-05
0.0,-0.54,9.706244e-05
0.0,-0.52,0.00010097027
0.0,-0.5,0.00010316819
0.0,-0.48,0.00010319054
0.0,-0.46,0.00010050461
0.0,-0.44,9.4495714e-05
0.0,-0.42,8.455664e-05
0.0,-0.4,7.003173e-05
0.0,-0.38,5.0414354e-05
0.0,-0.36,2.7123839e-05
0.0,-0.34,5.4836273e-06
0.0,-0.32,3.669411e-06
0.0,-0.3,7.202476e-05
0.0,-0.28,0.00034314021
0.0,-0.26,0.0011403486
0.0,-0.24,0.0031985976
0.0,-0.22,0.0080453195
0.0,-0.2,0.018531282
0.0,-0.18,0.039367873
0.0,-0.16,0.07735291
0.0,-0.14,0.14071548
0.0,-0.12,0.23678966
0.0,-0.1,0.36800903
0.0,-0.08,0.5276665
0.0,-0.06,0.6979106
0.0,-0.04,0.8520263
0.0,-0.02,0.9605145
0.0,0.0,0.99981576
0.0,0.02,0.960732
0.0,0.04,0.8521011
0.0,0.06,0.6975833
0.0,0.08,0.52716947
0.0,0.1,0.367697
0.0,0.12,0.23669828
0.0,0.14,0.1407342
0.0,0.16,0.07736097
0.0,0.18,0.039305188
0.0,0.2,0.018418692
0.0,0.22,0.007915586
0.0,0.24,0.0030760095
0.0,0.26,0.0010520704
0.0,0.28,0.00031360984
0.0,0.3,0.00011005998
0.0,0.32,0.000100228935
0.0,0.34,0.00014013797
0.0,0.36,0.00017586723
0.0,0.38,0.00019202381
0.0,0.4,0.00018843263
0.0,0.42,0.00016988069
0.0,0.44,0.00014207512
0.0,0.46,0.00010997802
0.0,0.48,7.7687204e-05
0.0,0.5,4.772097e-05
0.0,0.52,2.2023916e-05
0.0,0.54,1.4603138e-06
0.0,0.56,-1.3396144e-05
0.0,0.58,-2.266094e-05
0.0,0.6,-2.6613474e-05
0.0,0.62,-2.584979e-05
0.0,0.64,-2.098456e-05
0.0,0.66,-1.2874603e-05
0.0,0.68,-2.2687018e-06
0.0,0.7,9.994954e-06
0.0,0.72,2.3178756e-05
0.0,0.74,3.6418438e-05
0.0,0.76,4.9069524e-05
0.0,0.78,6.039813e-05
0.0,0.8,6.987527e-05
0.0,0.82,7.677823e-05
0.0,0.84,8.095056e-05
0.0,0.86,8.157641e-05
0.0,0.88,7.855892e-05
0.0,0.9,7.138401e-05
0.0,0.92,5.9865415e-05
0.0,0.94,4.3723732e-05
0.0,0.96,2.283603e-05
0.0,0.98,-2.8721988e-06
0.01,-1.0,2.476573e-05
0.01,-0.98,1.9028783e-05
0.01,-0.96,1.449883e-05
0.01,-0.94,1.1201948e-05
0.01,-0.92,9.253621e-06
0.01,-0.9,8.359551e-06
0.01,-0.88,8.806586e-06
0.01,-0.86,1.0319054e-05
0.01,-0.84,1.2978911e-05
0.01,-0.82,1.6652048e-05
0.01,-0.8,2.1234155e-05
0.01,-0.78,2.6628375e-05
0.01,-0.76,3.287196e-05
0.01,-0.74,3.9696693e-05
0.01,-0.72,4.6998262e-05
0.01,-0.7,5.4582953e-05
0.01,-0.68,6.222725e-05
0.01,-0.66,6.9759786e-05
0.01,-0.64,7.698685e-05
0.01,-0.62,8.355826e-05
0.01,-0.6,8.937344e-05
0.01,-0.58,9.3981624e-05
